"id","scan_time","pages","count_broken_link","mobile","count_images","count_alt_image","hl1","hl2","hl3","count_flash","count_script","count_frame","count_iframe","count_in_linked","count_out_linked","google","SNSuse","server"
"16471","18.796769618988037","8","1","1","83","18","0","0","25","0","241","0","1","11","15","0","0","Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips PHP/5.3.27"
"16473","248.6806697845459","443","2","1","3057","1651","1450","309","138","0","7286","0","0","744","861","169","1","nginx"
"16474","40.70980095863342","188","1","0","1391","421","122","355","14","0","454","0","4","245","11","52","0","nginx"
"16475","8.759353160858154","40","0","0","650","192","38","0","36","14","418","4","16","24","23","0","0","Apache"
"16476","23.384491205215454","96","0","0","2020","12","0","0","0","2","168","12","16","48","91","38","0","Apache"
"16477","64.17857909202576","166","11","0","472","363","238","850","37","0","1444","0","1","235","491","0","1","nginx"
"16479","60.5457239151001","127","1","0","2451","0","65","0","0","182","3240","1","105","174","32","47","0","Apache"
"16480","11074.91494512558","223","0","0","2853","920","454","24","327","0","2039","0","125","295","741","476","0","nginx"
"16481","66.29714393615723","195","10","0","6313","191","0","0","0","402","221","0","0","196","19","413","0","Microsoft-IIS/5.0"
"16484","21.76828169822693","8","0","1","334","71","0","0","0","0","34","0","1","9","3","6","0","Apache/2.2.22 (Unix) mod_ssl/2.2.22 OpenSSL/1.0.1e-fips DAV/2 PHP/5.2.17"
"16485","38.392698764801025","31","0","0","1253","450","1","0","34","0","645","0","32","31","48","9","0","Apache"
"16488","30.565792560577393","102","1","0","2025","259","187","1","28","0","682","0","74","535","8","752","0","Apache"
"16489","151.93085050582886","234","8","0","2735","1008","226","0","224","0","2649","0","0","427","20","54","0","nginx"
"16490","90.46457290649414","366","0","1","1567","1084","428","691","209","0","3285","0","2","726","34","424","1","Apache"
"16491","234.59235858917236","370","4","1","3890","1158","576","528","5","0","5554","0","2","403","101","3390000","1",\N
"16492","2.722956657409668","13","0","0","77","0","0","0","0","1","66","0","0","7","9","6","0","nginx"
"16495","232.99498677253723","311","0","1","6293","3020","0","0","0","0","4237","0","0","8","2375","146","1","Apache"
"16496","97.0834801197052","60","2","1","579","115","52","13","549","0","594","0","3","494","14","78","0","Apache"
"16497","1055.7134125232697","1109","2","1","28661","8760","3","4102","2006","0","12815","0","11","1580","309","389","1","nginx"
"16498","13.116851806640625","46","13","1","251","124","60","43","119","0","406","0","0","46","2","30","0","Apache/2.2.15 (CentOS)"
"16499","52.735697746276855","112","0","1","112","108","222","113","1","0","1781","0","0","155","36","606","1","nginx"
"16500","113.17346549034119","100","0","1","7410","6401","0","0","0","0","1415","0","2","4999","1324","81","0","Apache"
"16501","25.90582013130188","98","0","0","1827","0","0","0","0","79","375","4","0","105","5","72","0","Apache"
"16505","9.79978609085083","27","0","1","250","4","24","0","0","0","182","0","0","92","3","204","0","nginx"
"16507","22.529056787490845","66","2","1","730","462","0","59","0","0","634","4","11","71","50","492","1","Apache"
"16508","305.61603569984436","74","1","1","530","475","27","14","12","0","368","0","1","12","351","0","1","nginx"
"16509","392.90915274620056","602","2","1","12445","0","0","0","9","0","6725","0","6","5533","907","130000","1","Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e-fips DAV/2 PHP/5.2.17"
"16511","686.1431801319122","313","11","0","4064","3713","292","533","370","3","3035","0","164","396","89","3990","1","Apache/2.4.37 (Unix) OpenSSL/1.0.1e-fips PHP/7.0.32"
"16512","1.3558416366577148","8","0","0","17","11","0","0","7","0","0","4","0","8","0","42","0","Microsoft-IIS/7.5"
"16516","250.29577922821045","403","4","0","12571","26","0","0","633","0","4975","0","134","4600","976","134000","1","Apache/2.4.52 (Unix)"
"16517","319.4477093219757","96","1","1","646","645","45","17","17","0","471","0","1","15","387","5","1","nginx"
"16523","7.342689037322998","50","0","0","818","0","0","0","0","0","76","12","16","26","40","33","0","Apache"
"16524","497.9921112060547","383","4","1","1135","0","58","203","413","0","4884","0","3","1904","2","226","0","Apache"
"16526","297.4710855484009","350","3","0","2163","1755","255","1066","336","0","4586","0","4","2311","13","431","0","Apache/2.2.15 (CentOS)"
"16527","366.84367084503174","189","0","1","956","765","167","131","0","0","5291","0","1","696","6","509","0","nginx"
"16528","257.3930380344391","823","494","1","2705","622","27","1417","119","0","3959","0","89","1296","1430","593","1","nginx"
"16529","54.64520025253296","148","28","0","1980","0","0","0","0","90","756","0","0","132","36","106","0","Apache/2.4.10 (Unix) OpenSSL/1.0.1e-fips PHP/4.4.9"
"16530","10.69045376777649","49","1","0","283","13","0","0","0","58","290","0","28","49","3","32","0","Apache"
"16532","93.01278018951416","260","119","1","545","352","197","602","25","2","1992","0","16","366","326","954","1","nginx"
"16533","85.59159636497498","128","0","0","213","39","135","9","660","0","1281","0","1","448","2","114","0","nginx"
"16535","172.17444133758545","140","65","1","557","385","0","2","36","0","4721","0","55","1","369","34","0","nginx"
"16538","5.469752788543701","29","3","1","119","78","26","20","1","0","192","0","0","29","12","95","0","Apache/2.4.52 (Unix) mod_jk/1.2.48"
"16539","26.223471879959106","55","1","1","250","0","42","42","0","0","234","0","6","101","5","102","0","Apache"
"16543","21.91183376312256","66","3","1","169","69","60","53","8","0","678","0","2","93","72","91","1","nginx"
"16546","6.851577997207642","15","0","1","18","0","74","84","0","0","157","0","0","15","8","58","0","Apache"
"16547","5.124330759048462","16","0","1","87","85","2","22","7","0","158","2","8","7","77","745","1","Apache"
"16551","6.084057331085205","20","0","1","148","148","38","20","4","0","451","0","1","21","2","316","0",\N
